,CustomerID,Recency,Frequency,Monetary,R,F,M,RFM Score,Segment
0,12346.0,11,2,0.0,1,2,1,121,hibernating
1,12347.0,1,6,3598.2100000000005,5,4,5,545,champions
2,12348.0,3,4,1797.24,2,4,4,244,at risk
3,12349.0,1,1,1757.5500000000002,4,1,4,414,promising
4,12350.0,11,1,334.40000000000003,1,1,2,112,hibernating
5,12352.0,2,11,1545.41,3,5,4,354,loyal customers
6,12353.0,7,1,89.0,1,1,1,111,hibernating
7,12354.0,8,1,1079.3999999999999,1,1,4,114,hibernating
8,12355.0,8,1,459.4,1,1,3,113,hibernating
9,12356.0,1,3,2811.4300000000003,4,3,5,435,potential loyalists
10,12357.0,2,1,6207.67,3,1,5,315,about to sleep
11,12358.0,1,2,1168.06,5,2,4,524,potential loyalists
12,12359.0,1,6,6245.53,5,4,5,545,champions
13,12360.0,2,3,2662.06,3,3,5,335,need attention
14,12361.0,10,1,189.89999999999998,1,1,1,111,hibernating
15,12362.0,1,13,5154.580000000001,5,5,5,555,champions
16,12363.0,4,2,552.0,2,2,3,223,hibernating
17,12364.0,1,4,1313.1,5,4,4,544,champions
18,12365.0,10,3,320.6899999999999,1,3,2,132,at risk
19,12367.0,1,1,168.89999999999998,5,1,1,511,new customers
20,12370.0,2,4,3545.6899999999996,3,4,5,345,loyal customers
21,12371.0,2,2,1887.96,3,2,4,324,about to sleep
22,12372.0,3,3,1298.04,2,3,4,234,at risk
23,12373.0,11,1,364.6,1,1,2,112,hibernating
24,12374.0,1,1,742.93,4,1,3,413,promising
25,12375.0,1,3,455.42,5,3,3,533,potential loyalists
26,12377.0,11,2,1628.12,1,2,4,124,hibernating
27,12378.0,5,1,4008.62,2,1,5,215,hibernating
28,12379.0,3,3,850.29,2,3,3,233,at risk
29,12380.0,1,5,2720.5600000000004,4,4,5,445,loyal customers
30,12381.0,1,6,1803.96,5,4,4,544,champions
31,12383.0,7,6,1839.3100000000002,1,4,4,144,at risk
32,12384.0,1,3,566.16,4,3,3,433,potential loyalists
33,12386.0,12,1,143.0,1,1,1,111,hibernating
34,12388.0,1,6,2780.6600000000003,4,4,5,445,loyal customers
35,12390.0,3,1,549.84,2,1,3,213,hibernating
36,12391.0,1,1,460.89,4,1,3,413,promising
37,12393.0,3,4,1582.6,2,4,4,244,at risk
38,12394.0,3,2,1272.48,3,2,4,324,about to sleep
39,12395.0,1,14,2652.18,4,5,5,455,loyal customers
40,12397.0,2,2,2409.8999999999996,3,2,5,325,about to sleep
41,12398.0,2,1,1635.6599999999999,3,1,4,314,about to sleep
42,12399.0,4,4,1108.65,2,4,4,244,at risk
43,12401.0,10,1,84.3,1,1,1,111,hibernating
44,12402.0,11,1,225.6,1,1,2,112,hibernating
45,12403.0,2,2,409.7,3,2,2,322,about to sleep
46,12405.0,5,1,1710.3900000000003,2,1,4,214,hibernating
47,12406.0,1,3,3280.75,4,3,5,435,potential loyalists
48,12407.0,2,5,1708.12,3,4,4,344,loyal customers
49,12408.0,2,9,2842.57,3,5,5,355,loyal customers
50,12409.0,3,7,11056.930000000002,2,5,5,255,can't loose
51,12410.0,10,3,681.0799999999999,1,3,3,133,at risk
52,12412.0,3,3,1226.88,2,3,4,234,at risk
53,12413.0,3,5,694.1499999999999,3,4,3,343,loyal customers
54,12414.0,8,3,562.4100000000001,1,3,3,133,at risk
55,12415.0,1,26,123725.45,4,5,5,455,loyal customers
56,12417.0,1,12,3578.8,5,5,5,555,champions
57,12418.0,4,1,668.58,2,1,3,213,hibernating
58,12420.0,3,1,600.3900000000001,3,1,3,313,about to sleep
59,12421.0,1,5,806.27,4,4,3,443,loyal customers
60,12422.0,4,3,803.56,2,3,3,233,at risk
61,12423.0,1,9,1849.1100000000001,5,5,4,554,champions
